sampleA,sampleB,snp_distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
hcw#1,hcw#2,3,-4.943311948,-3.900344943,-3.327381567,-2.977561742,-2.76127331,-2.634597037,-2.572459284,-2.559111696,-2.583985321,-2.639630604,-2.720593696,-2.822758994,-2.942942799,-3.07863079,-3.227802131,-3.38880793,-3.560285029,-3.741093455,-3.930270131,-4.126994013,-4.330559426
hcw#1,hcw#3,3,-4.943311948,-3.900344943,-3.327381567,-2.977561742,-2.76127331,-2.634597037,-2.572459284,-2.559111696,-2.583985321,-2.639630604,-2.720593696,-2.822758994,-2.942942799,-3.07863079,-3.227802131,-3.38880793,-3.560285029,-3.741093455,-3.930270131,-4.126994013,-4.330559426
hcw#1,hcw#4,0,-1.235827987,-1.579155343,-1.922482699,-2.265810054,-2.60913741,-2.952464766,-3.295792122,-3.639119478,-3.982446833,-4.325774189,-4.669101545,-5.012428901,-5.355756257,-5.699083612,-6.042410968,-6.385738324,-6.72906568,-7.072393035,-7.415720391,-7.759047747,-8.102375103
hcw#1,hcw#5,1,-3.728892493,-2.666282765,-2.212982857,-2.063226695,-2.083903373,-2.201394298,-2.37357773,-2.577457221,-2.801156601,-3.038604264,-3.286488508,-3.54277328,-3.806051165,-4.075269187,-4.349603416,-4.628392206,-4.911094932,-5.197263873,-5.486524007,-5.778558069,-6.07309526
hcw#1,hcw#6,2,-4.42106333,-3.274616241,-2.719394971,-2.452389577,-2.34673695,-2.336598826,-2.386327637,-2.476495624,-2.596160251,-2.73868398,-2.899658572,-3.07592508,-3.265100395,-3.465326651,-3.675122569,-3.893286775,-4.118831094,-4.350932814,-4.588899654,-4.832143551,-5.080160727
hcw#1,hcw#7,3,-5.088825898,-3.948965977,-3.340225547,-2.978920063,-2.759419353,-2.631952766,-2.569641916,-2.556260193,-2.581127698,-2.636771976,-2.717734915,-2.819900192,-2.940083994,-3.075771984,-3.224943326,-3.385949125,-3.557426224,-3.73823465,-3.927411326,-4.124135207,-4.327700621
hcw#1,hcw#8,3,-5.307317224,-4.058948773,-3.386478271,-2.993143572,-2.759861896,-2.627269151,-2.563286458,-2.549419693,-2.574160386,-2.629774462,-2.71073079,-2.812894728,-2.933078277,-3.068766223,-3.217937557,-3.378943354,-3.550420453,-3.731228879,-3.920405555,-4.117129437,-4.32069485
hcw#1,hcw#9,2,-4.42106333,-3.274616241,-2.719394971,-2.452389577,-2.34673695,-2.336598826,-2.386327637,-2.476495624,-2.596160251,-2.73868398,-2.899658572,-3.07592508,-3.265100395,-3.465326651,-3.675122569,-3.893286775,-4.118831094,-4.350932814,-4.588899654,-4.832143551,-5.080160727
hcw#1,hcw#10,4,-6.179151614,-4.913029896,-4.157744439,-3.653773914,-3.303954088,-3.059494779,-2.891996511,-2.783338743,-2.721200991,-2.696803566,-2.703658686,-2.736831113,-2.792476396,-2.867539766,-2.959552693,-3.066491271,-3.186675075,-3.318693337,-3.461349998,-3.613622117,-3.774627916
hcw#1,hcw#14,4,-6.179436075,-4.913056019,-4.15774578,-3.653773238,-3.30395327,-3.059493952,-2.891995684,-2.783337916,-2.721200163,-2.696802739,-2.703657858,-2.736830286,-2.792475569,-2.867538938,-2.959551866,-3.066490443,-3.186674248,-3.31869251,-3.46134917,-3.613621289,-3.774627088
hcw#1,CARE0097#6,2,-3.726693279,-2.954242916,-2.602028511,-2.434260744,-2.372097686,-2.378950768,-2.434595908,-2.526608827,-2.646792631,-2.789449291,-2.95045509,-3.126728361,-3.315905037,-3.516131549,-3.725927512,-3.944091725,-4.169636045,-4.401737766,-4.639704606,-4.882948503,-5.130965679
hcw#1,hcw#15,5,-7.430640519,-5.970722747,-5.058074856,-4.419782645,-3.952006687,-3.602152728,-3.33933816,-3.14366801,-3.001487397,-2.902981979,-2.840844224,-2.80947813,-2.804498791,-2.822403747,-2.860349453,-2.915994736,-2.987388377,-3.072886623,-3.171091521,-3.280804025,-3.40098783
hcw#1,hcw#16,2,-4.066221625,-3.079816383,-2.633103643,-2.429828321,-2.35620491,-2.35984775,-2.414702721,-2.50654255,-2.62669222,-2.769342761,-2.930347554,-3.106620673,-3.295797327,-3.496023836,-3.705819799,-3.923984012,-4.149528332,-4.381630053,-4.619596893,-4.86284079,-5.110857966
hcw#1,hcw#17,4,-6.260258838,-4.940395589,-4.165642207,-3.655482926,-3.303926376,-3.059032603,-2.891436436,-2.78275861,-2.72061709,-2.696219013,-2.703074027,-2.736246438,-2.79189172,-2.866955088,-2.958968016,-3.065906594,-3.186090398,-3.31810866,-3.460765321,-3.61303744,-3.774043239
hcw#1,CARE0317#1,0,-1.835429622,-1.566160344,-1.732531197,-2.03117828,-2.365314686,-2.707096686,-3.05020654,-3.393507637,-3.736832218,-4.080159313,-4.423486647,-4.766814001,-5.110141357,-5.453468713,-5.796796068,-6.140123424,-6.48345078,-6.826778136,-7.170105492,-7.513432847,-7.856760203
hcw#1,hcw#18,1,-3.394520818,-2.467741267,-2.120899055,-2.045858957,-2.112290069,-2.253827419,-2.436815319,-2.644874556,-2.869984412,-3.107853354,-3.355850472,-3.612162683,-3.875446678,-4.144665957,-4.419000425,-4.697789258,-4.980491991,-5.266660933,-5.555921068,-5.847955129,-6.142492321
